序号	年级	章节	涉及模块	题目	答案	答题过程
463	四年级	第二十三讲	统筹与对策	一个探险者准备穿过长为80千米的沙漠，他一天能走20千米，最多可以携带够3天用 的食物和水.因此，他必须在途中建立一个中转站，补充后几天所需要的食物和水.这个 探险者得走 几天才能穿过这个沙漠.	6	80÷20=4(天),不考虑食物和水供给的情况下，走4天可以穿过这个沙漠，那么在 中转站里储备一天的食物和水即可，这个中转站需要建在离出发地点20千米处，此时，来到这 个中转站花费一天的食物，放下一天的食物，回到出发地花费一天的食物，从出发地再带够三天 的食物即可.一共花了1+1+4=6(天).
352	四年级	第十讲	应用题综合二	 芳子参加数学、语文、自然、英语4科考试，她得的分数都是整数，也没有得0分的科目. 各科的满分成绩都是100分. 芳子的成绩是： 数学和自然的分数之和是语文和英语分数之和的4倍； 数学和英语的分数之和是语文和自然分数之和的3倍； 数学和语文的分数之和是英语和自然分数之和的2倍.芳子的数学成绩是多少分?	73	显然分数从高到低依次为数学、自然、英语、语文，设其分数依次为a、b、c、d. 则a+b+c+d=5(c+d)=4(b+d)=3(b+c),         所以a+b+c+d    是3,4,5的公倍数，也就 是60的倍数，设a+b+c+d=60x. 则a+b=48x,b+c=20x,          所以a-c=28x.              ① 又因为a +c =45x                                                      ② 根据①和②,a=36.5x.    因 为a>0,    且不超过100的整数， 所以x=2,a=73,a+b+c+d=60x=120.
204	六年级	第十讲	工程问题	A,B,C,D,E五人小组分工合作解决一项要求20分钟完成的任务.但至完成时多用了2 分钟.事后总结时发现：当时若将A与E分担的工作互换，全组的工作就能提高效率10%;当时若 将B 与 D 分担的工作互换，全组的工作效率就能提高1/9.那么,当时若将A与E分担的工作互换， 同时将B 与 D 分担的工作也互换，全组就可以比规定的时间提前几分钟完成任务. 	200/109	设A、B、C、D、E的原来工作效率分别为a、b、c、d、e,于是有a+b+c+d+e=1/22 设A 和 E 互换后，工作效率提高1/22*10%=1/220,设B 和 D 互换后，工作效率提高1/22*1/9=1/198  因此，我们可以得1/20+1/220+1/198=109/1980.所以，当时若将A 与 E 分担的工作互换，同时 将B 与 D 分担的工作也交换，全组需要1/(109/1980)=1980/109 (分钟)才能完成任务，即全组 就可以比规定的时间提前 20-1980/109=200/109(分钟)完成任务.
940				31. 一个减法算式的被减数、减数、差相加得336，减数是差的一半。如果被减数不变，差增加28，减数应变为____。	28	31. 减数与差的和等于被减数，则被减数为336÷2=168，又知减数是差的一半，所以减数是168÷(2+1)=56，如果被减数不变，差增加28，则减数应减小28，即为56-28=28。
1563				学校打算组织同学们去秋游，每辆大巴车有39个座位，每辆公交车有27个座位，大巴车比公交车少2辆，如果所有学生和老师都乘坐大巴，每辆大巴车上有2位老师，则多出3个座位；如果都乘坐公交车，每辆公交车都坐满并且各有1位老师，则多出3位老师，那么共有　　位老师，　　名同学参加这次秋游．	10;182	解：依题意可知： 大巴车比公交车少2辆，如果都是大巴车则每辆车上有2名老师，如果都是公交车则每车1人多出3名老师． （2×1+3）÷（2﹣1）＝5（辆）大巴车． 老师人数2×5＝10． 学生人数37×5﹣3＝182（人） 故答案为：10，182
882	五年级	第二十六讲	带余除法	有一堆水果糖，如果按8块一份来分，最后剩下2块；如果按9块一份来分，最后剩下3 块；如果按10块一份来分，最后剩下4块.这堆糖至少有         块 .	354	这堆水果糖的总数被8除余2,被9除余3,被10除余4.如果增加6块就刚好是8、 9、10的公倍数，又8、9、10的最小公倍数是360.所以这堆水果糖至少有360-6=354(块).
568	五年级	第9届	巧算	算式 1÷（2÷3）÷(3÷4)÷(4÷5) 的计算结果是 ______ 。	2.5	本题转变分数，用分数的约分可以简便计算：  方法一：原式=1÷2/3÷3/4÷4/5=1×3/2×4/3×5/4=5/2=2.5。 方法二：原式=1÷2/3÷3/4÷4/5=1÷(2/3×3/4×4/5)=1÷2/5=5/2=2.5。 方法三：原式=1÷2×3÷3×4÷4×5=5÷2=2.5。
66	六年级	第十一讲	浓度与经济	书店以每本10.08元的价格购进某种图书，每本售价16.8元，卖到还剩10本时，除了收回全部成本外，还获利504元.这个书店购进该种图书        本.	100	我们发现最后10本卖得的钱全部都是利润，最后总利润为504+10×16.8=672 (元)，每本获利16.8-10.08=6.72(元),说明总数为672÷6.72=100(本). 
1104				9．（6分）一个正方形的面积与一个长方形的面积相等，若长方形的长是1024，宽是1，则正方形的周长是　   　．	128	【解答】解：1024×1＝1024 1024＝2×2×2×2×2×2×2×2×2×2＝32×32，所以正方形的边长是32． 32×4＝128 答：正方形的周长是128．
1014				12．（5分）48名学生参加聚会，第一个到会的男生和全部女生握手，第二个到会的男生只差一名女生没握过手，第三个到会的男生只差2名女生没握过手…最后一个到会的男生同9名女生握过手，这48名学生中共有　   　名女生．	28	【解答】解：根据题意知道：女生比男生多8名， 女生人数为：（48+8）÷2， ＝56÷2， ＝28（名）； 答：这48名学生中共有28名女生． 故答案为：28．
549	六年级	第9届	排列组合	用1、3、5、7、9这五个数字组成若干个合数，每个数字恰好用一次。那么，这些合数的总和最小是____。	214	这道题可以用枚举法来做：  第一、组成的个位数是合数的只能是9和5。那么剩下的四个数字必须要组成两个两位数，很快就能枚举出来，没有符合题意的组合。  第二、那么我们只能考虑把他们组成一个两位数，一个三位数。然后进行加法；列算式就能看出，有一个数字放在百位，两个数字放在十位，两个数字放在个位。为了使两个数的和最小，那么百位必须是1；十位如果一个是3，一个是5，那么就是最小的情况，但是我们枚举发现，没有符合题意的组合；所以我们考虑十位一个是3，一个7的情况，通过枚举我们知道175, 39是符合题意的两个数和最小就是175+39=214。
30	六年级	第九讲	比例应用题	某学校有若干名学生参加《走进数学王国》电视邀请赛，其中男生人数与女生人数的比为8:5.后来又有20名女生报名参赛，这时女生人数占参赛总人数的5/11，现在参赛的学生共有多少人?	176	由于女生报名，男生人数不变，所以又有女生报名前后，男女生人数比8:5=24:15,6:5=24:20,所以现在参赛的学生共有20÷(20-15)×(24+20)=176(人).
1336	四年级			1×2×3×4×…×2014的积的末尾一共有　   　个0	501	解：要计算连乘积的末尾有几个连续的0，就要计算这2014个数字中含有质因数5的个数． 可以这样思考：从1到10中5含有一个质因数5，10含有一个质因数5，即1×2×3×4×…×10的积的末尾一共有2个0； 5里面含有1个质因数5，25里面包含有2个质因数5，125里面含有3个质因数5，625里面包含有4个质因数5， 计算2014÷5＝402…4，2014÷25＝80…14，2014÷125＝16…14，2014÷625＝3…139， ∴1×2×3×4×…×2014的积的末尾一共有402+80+16+3＝501个连续的0． 故答案为501．
544	五年级	第15届	简单运算	有4个自然数，从其中任意选取3个数求和，可以而且只能得到28，29，30，那么，原来的4个自然数分别是____。	 9, 9, 10, 11	4个自然数中取3个相加只有3种和（原应4个和），所以其中有两个数是相等的。30-28=2，即最大数与最小数的差为2，所以三种不同数值的数为a, a+1, a+2。只能为 (a+1)+(a+2)+a=30, a+a+(a+1)=28, a+a+(a+2)=29，所以a=9。故这四个数为9, 9, 10, 11。
515				两个顽皮的孩子逆着自动扶梯行驶的方向行走，从扶梯的一端到达另一端，男孩走了100 秒，女孩走了300秒． 已知在电梯静止时，男孩每秒走3米，女孩每秒走2米，则该自动扶梯 长                      米 .	150	【分析】设扶梯的速度为 x，则有300 — 100x = 600 — 300x ，解得x = 1.5 ，故扶梯长 150 级.
1387				如果一个自然数既能写成两个连续自然数之和也能写成三个连续自然数之和，就成为一个“好数”．请找出2007、2008、2009、2010、1011中的“好数”．	2007;1011	解：两个连续自然数之和一定是奇数， 那么2008，2010一定不是好数； 2007中2+0+0+7＝9，9是3的倍数，所以2007是3的倍数，它可以化成3个连续自然数的和，它是一个好数； 即：2007＝1003+1004＝668+669+670； 2009中2+0+0+9＝11不是3的倍数，所以2009不是3的倍数，它不是一个好数； 1011中1+0+1+1＝3，3是3的倍数，所以1011是3的倍数，它是一个好数， 即：1011＝505+506＝336+337+338． 答：这其中的好数有2007，1011．
707	五年级	第一讲	比较与估算	已知S = 1/(1980 × 1981) + 1/(1981 × 1982) + ... + 1/(1990 × 1991)，求S的整数部分。	165	设分母为A，则A < 12 × 1/1980 = 165，并且A > 12 × 1/1991 = 165 1/12，即S的整数部分是165。
1848	四年级			\text{一辆轿车油箱的容量为 } 50 \ \text{升，加满油后由上海出发前往相距 } 2560 \ \text{千米的哈尔滨。} \\ \text{已知轿车每行驶 } 100 \ \text{千米耗油 } 8 \ \text{升，为保证行车安全油箱内至少应存油 } 6 \ \text{升。} \\ \text{那么，在去哈尔滨的途中至少需要加油} \ \underline{\quad} \ \text{次。}	4	\text{从上海到哈尔滨一共耗油 } 2560 \div 100 \times 8 = 204 \dfrac{4}{5} \ \text{升；} \\ \text{从加满油后最多可以耗油 } 50 - 6 = 44 \ \text{升需要再加次油；} \\ 204 \dfrac{4}{5} \div 44 = 4 \dfrac{36}{55}, \ \text{进一法，得 } 5 \ \text{次；} \\ \text{但这 } 5 \ \text{次包括上海出发时加满油的一次；} \\ \text{所以在去哈尔滨的途中至少需要加油 } 5 - 1 = 4 \ \text{次。}
1079				12．（6分）2013的质因数中，最大的质因数与最小的质因数的乘积是　   　．	183	【解答】解：把2013分解质因数： 2013＝3×11×61， 3×61＝183． 答：最大的质因数与最小的质因数的乘积是183． 故答案为：183．
866	五年级	第二十五讲	因数与倍数	若 a、b、c是三个互不相等的大于0的自然数，且a+b+ c=     1155,   则它们的最大公因数的最大值为  ,最小公倍数的最小值为  ,最小公倍数的最大值为  	165， 660， 57065085	(1)由于a+b+c=1155, 而1155=3×5×7×11.令a=mp,b=mq,c=ms.m 为a、 b、c的最大公因数，则p+q+s 最小取7.此时m=165. (2)为了使最小公倍数尽量小，应使三个数的最大公因数m尽量大，所以应使m=165,a= 1、b=2、c=4,此时三个数分别为165、330、660,它们的最小公倍数为660,所以最小公倍数的最 小值为660. (3)为了使最小公倍数尽量大，应使三个数两两互质且乘积尽量大.当三个数的和一定时， 为了使它们的乘积尽量大，应使它们尽量接近.由于相邻的自然数是互质的，所以可以令1155 =384+385+386,但是在这种情况下384和386有公因数2,而当1155=383+385+387时，三 个数两两互质，它们的最小公倍数为383×385×387=57065085,即最小公倍数的最大值为 57065085.
1739				小林每天跑步 8 至 12 千米，上个月他共跑了 19 天，小林上个月总共跑的千米数可能为 ________。	200	分别求得小林每天跑步 8 千米或 12 千米的路程，再在选项中找到两者之间的路程即可作出判断。 解：8×19=152（千米）， 12×19=228（千米）。 只有 200 在 152 和 228 之间
276	四年级	第四讲	数列	 1+3=2×2; 1+3+5=3×3; 1+3+5+7=4×4. 请问：1+3+5+ … +2011=          ×            	1006；1006	从1开始连续n 个奇数的和为n² . (2011- 1)÷2+1=1006,所以答案为1006×1006.
1197				14．（15分）老师给学生水果，准备了两种水果，其中橘子的个数比苹果的个数的3倍多3个，每人分2个苹果，则余下6个苹果；每人分7个橘子，最后一人只能分得1个橘子，求学生的人数．	27	【解答】解：依题意可知： 设学生的人数为x人．则苹果的个数为2x+6个．橘子个数为7（x﹣1）+1个． 则可得： （2x+6）×3+3＝7（x﹣1）+1             6x+21＝7x﹣6                    x＝27 答：共有27个学生．
1828	五年级			\begin{aligned}   &\text{已知 } S_1 = 1, \ S_2 = 1 - 2, \ S_3 = 1 - 2 + 3, \ S_4 = 1 - 2 + 3 - 4, \ S_5 = 1 - 2 + 3 - 4 + 5, \ \cdots, \\    &\text{那么 } S_1 + S_2 + S_3 + \cdots + S_{299} = \underline{\quad}。   \end{aligned}	150	\begin{aligned}   &\text{【分析】数列巧算+奇偶性正负数（或取整）} \\    &S_1 = 1, \ S_2 = -1, \ S_3 = 2, \ S_4 = -2, \ S_5 = 3, \ S_6 = -3, \ \cdots \\    &\text{规律比较明显，可知 } S_1 + S_2 + S_3 + S_4 + \cdots + S_{298} = 0, \\    &\text{且 } S_n = \left\lceil \frac{n}{2} \right\rceil \ (\text{向上取整}), \ \text{所以 } S_{299} = \frac{299 + 1}{2} = 150。   \end{aligned}
412	四年级	第十九讲	抽屉原理	 有一叠包含20张红色、20张黄色、20张绿色及10张蓝色的纸牌.请问至少要抽取多少 张纸牌，才能保证其中有12张纸牌的颜色相同?	44	考虑最不利的情况，11+11+11+10+1=44.
